Pairing Food,Product,Grape,Popularity,Critics' Score,Avg. Price kr / 750ml
beef and venison,"Chateau Mouton Rothschild, Pauillac, France",Bordeaux Blend Red,1st,96 / 100,"7,926"
beef and venison,"Chateau Lafite Rothschild, Pauillac, France",Bordeaux Blend Red,3rd,96 / 100,"10,564"
beef and venison,"Petrus, Pomerol, France",Merlot,4th,96 / 100,"47,971"
beef and venison,"Tenuta San Guido Sassicaia Bolgheri, Tuscany, Italy",Cabernet Franc - Cabernet Sauvignon,5th,95 / 100,"3,930"
beef and venison,"Chateau Margaux, Margaux, France",Bordeaux Blend Red,6th,96 / 100,"8,419"
beef and venison,"Opus One, Napa Valley, USA",Bordeaux Blend Red,7th,94 / 100,"4,889"
beef and venison,"Chateau Latour, Pauillac, France",Cabernet Sauvignon - Merlot,8th,96 / 100,"8,832"
beef and venison,"Chateau Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,10th,96 / 100,"7,074"
beef and venison,"Marchesi Antinori Tignanello Toscana IGT, Tuscany, Italy",Cabernet - Sangiovese,13th,94 / 100,"2,038"
beef and venison,"Chateau Lynch-Bages, Pauillac, France",Bordeaux Blend Red,15th,94 / 100,"1,838"
beef and venison,"Chateau Pontet-Canet, Pauillac, France",Bordeaux Blend Red,16th,95 / 100,"1,505"
beef and venison,"Chateau Cheval Blanc, Saint-Emilion, France",Bordeaux Blend Red,18th,96 / 100,"8,313"
beef and venison,"Chateau Montrose, Saint-Estephe, France",Bordeaux Blend Red,19th,95 / 100,"2,158"
beef and venison,"Chateau Cos d'Estournel, Saint-Estephe, France",Bordeaux Blend Red,20th,95 / 100,"2,438"
beef and venison,"Chateau Leoville-Las Cases 'Grand Vin de Leoville', Saint-Julien, France",Bordeaux Blend Red,21st,96 / 100,"3,091"
beef and venison,"Masseto Toscana IGT, Tuscany, Italy",Merlot,22nd,96 / 100,"11,270"
beef and venison,"Chateau Pichon Longueville Comtesse de Lalande, Pauillac, France",Bordeaux Blend Red,26th,95 / 100,"2,584"
beef and venison,"Chateau Palmer, Margaux, France",Bordeaux Blend Red,27th,95 / 100,"3,877"
beef and venison,"Chateau Ducru-Beaucaillou, Saint-Julien, France",Cabernet Sauvignon - Merlot,29th,95 / 100,"2,638"
beef and venison,"Penfolds Grange Bin 95, Australia",Shiraz,30th,96 / 100,"6,767"
beef and venison,"Ornellaia Bolgheri Superiore, Tuscany, Italy",Bordeaux Blend Red,31st,94 / 100,"2,891"
beef and venison,"Chateau Gruaud-Larose, Saint-Julien, France",Bordeaux Blend Red,32nd,93 / 100,"1,279"
beef and venison,"Marchesi Antinori Solaia Toscana IGT, Tuscany, Italy",Cabernet - Sangiovese,33rd,95 / 100,"4,263"
beef and venison,"Chateau Leoville Barton, Saint-Julien, France",Bordeaux Blend Red,35th,94 / 100,"1,292"
beef and venison,"Chateau La Mission Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,36th,95 / 100,"4,503"
beef and venison,"Chateau Pichon-Longueville au Baron de Pichon-Longueville, Pauillac, France",Bordeaux Blend Red,37th,95 / 100,"2,052"
beef and venison,"Caymus Vineyards Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,39th,91 / 100,"1,026"
beef and venison,"Vega Sicilia Unico Gran Reserva, Ribera del Duero, Spain",Tempranillo,40th,95 / 100,"5,502"
beef and venison,"Chateau Angelus, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,42nd,95 / 100,"4,636"
beef and venison,"Chateau Leoville Poyferre, Saint-Julien, France",Bordeaux Blend Red,43rd,94 / 100,"1,385"
beef and venison,"Chateau Figeac, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,45th,95 / 100,"3,051"
beef and venison,"Chateau Talbot, Saint-Julien, France",Bordeaux Blend Red,49th,92 / 100,986
beef and venison,"Screaming Eagle Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,51st,97 / 100,"46,665"
beef and venison,"Chateau Pavie, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,52nd,95 / 100,"3,970"
beef and venison,"Dominus Estate Christian Moueix, Napa Valley, USA",Bordeaux Blend Red,53rd,96 / 100,"3,743"
beef and venison,"Chateau Smith Haut Lafitte, Pessac-Leognan, France",Bordeaux Blend Red,54th,94 / 100,"1,559"
beef and venison,"Harlan Estate, Napa Valley, USA",Bordeaux Blend Red,55th,97 / 100,"16,132"
beef and venison,"Joseph Phelps Vineyards Insignia, Napa Valley, USA",Bordeaux Blend Red,66th,94 / 100,"3,344"
beef and venison,"Chateau Canon, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,67th,95 / 100,"1,772"
beef and venison,"Chateau Calon-Segur, Saint-Estephe, France",Bordeaux Blend Red,68th,94 / 100,"1,679"
beef and venison,"Sena, Aconcagua Valley, Chile",Bordeaux Blend Red,72nd,94 / 100,"1,412"
beef and venison,"Vieux Chateau Certan, Pomerol, France",Bordeaux Blend Red,74th,95 / 100,"3,330"
beef and venison,"Fontodi Flaccianello della Pieve Colli della Toscana Centrale IGT, Tuscany, Italy",Sangiovese,76th,95 / 100,"1,865"
beef and venison,"Domaine de Chevalier, Pessac-Leognan, France",Bordeaux Blend Red,77th,94 / 100,933
beef and venison,"Chateau Pape Clement, Pessac-Leognan, France",Bordeaux Blend Red,78th,93 / 100,"1,239"
beef and venison,"Chateau Giscours, Margaux, France",Bordeaux Blend Red,80th,92 / 100,866
beef and venison,"Chateau Rauzan-Segla, Margaux, France",Bordeaux Blend Red,82nd,94 / 100,"1,345"
beef and venison,"Chateau Lascombes, Margaux, France",Bordeaux Blend Red,85th,91 / 100,"1,012"
beef and venison,"Chateau Lafleur, Pomerol, France",Cabernet Franc - Merlot,86th,96 / 100,"11,630"
beef and venison,"Chateau Troplong Mondot, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,87th,94 / 100,"1,399"
beef and venison,"Chateau Lafite Rothschild 'Carruades de Lafite', Pauillac, France",Bordeaux Blend Red,88th,91 / 100,"4,050"
beef and venison,"Chateau Beychevelle, Saint-Julien, France",Bordeaux Blend Red,89th,93 / 100,"1,425"
beef and venison,"Chateau Grand-Puy-Lacoste, Pauillac, France",Bordeaux Blend Red,91st,93 / 100,999
beef and venison,"Vina Almaviva, Puente Alto, Chile",Bordeaux Blend Red,93rd,93 / 100,"1,932"
beef and venison,"Chateau Ausone, Saint-Emilion, France",Bordeaux Blend Red,94th,96 / 100,"8,406"
beef and venison,"Chateau La Fleur-Petrus, Pomerol, France",Cabernet Franc - Merlot,95th,94 / 100,"2,758"
beef and venison,"Chateau Brane-Cantenac, Margaux, France",Bordeaux Blend Red,96th,93 / 100,999
beef and venison,"Montevertine Le Pergole Torte Toscana IGT, Tuscany, Italy",Sangiovese,98th,95 / 100,"3,610"
beef and venison,"Chateau Branaire-Ducru, Saint-Julien, France",Bordeaux Blend Red,99th,92 / 100,786
beef and venison,"Ridge Vineyards Monte Bello, Santa Cruz Mountains, USA",Bordeaux Blend Red,102nd,95 / 100,"2,997"
beef and venison,"Chateau Duhart-Milon, Pauillac, France",Bordeaux Blend Red,104th,91 / 100,"1,092"
beef and venison,"Biondi Santi Tenuta Greppo Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,105th,93 / 100,"2,425"
beef and venison,"Le Pin, Pomerol, France",Merlot,109th,96 / 100,"44,054"
beef and venison,"Chateau La Conseillante, Pomerol, France",Bordeaux Blend Red,114th,95 / 100,"2,651"
beef and venison,"Baron Philippe de Rothschild Chateau d'Armailhac, Pauillac, France",Bordeaux Blend Red,115th,91 / 100,799
beef and venison,"Chateau Lagrange, Saint-Julien, France",Bordeaux Blend Red,117th,92 / 100,719
beef and venison,"Chateau Les Carmes Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,118th,94 / 100,"1,758"
beef and venison,"Penfolds Bin 389 Cabernet - Shiraz, South Australia",Cabernet - Syrah/Shiraz,120th,92 / 100,746
beef and venison,"Caymus Vineyards Special Selection Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,124th,93 / 100,"2,651"
beef and venison,"Chateau Latour 'Les Forts de Latour', Pauillac, France",Cabernet Sauvignon - Merlot,132nd,92 / 100,"2,691"
beef and venison,"Chateau Cantemerle, Haut-Medoc, France",Bordeaux Blend Red,134th,90 / 100,440
beef and venison,"Chateau Clerc-Milon, Pauillac, France",Bordeaux Blend Red,138th,93 / 100,"1,159"
beef and venison,"Chateau Haut-Bailly, Pessac-Leognan, France",Bordeaux Blend Red,144th,94 / 100,"1,479"
beef and venison,"Chateau L'Evangile, Pomerol, France",Cabernet Franc - Merlot,145th,94 / 100,"2,824"
beef and venison,"Chateau Trotanoy, Pomerol, France",Bordeaux Blend Red,146th,95 / 100,"3,304"
beef and venison,"Case Basse di Gianfranco Soldera Toscana IGT - Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,149th,95 / 100,"9,192"
beef and venison,"Chateau Batailley, Pauillac, France",Bordeaux Blend Red,152nd,92 / 100,733
beef and venison,"Chateau Sociando-Mallet, Haut-Medoc, France",Bordeaux Blend Red,153rd,90 / 100,493
beef and venison,"Silver Oak Cellars Napa Valley Cabernet Sauvignon, California, USA",Bordeaux Blend Red,154th,90 / 100,"1,892"
beef and venison,"Vega Sicilia Tinto Valbuena 5, Ribera del Duero, Spain",Tempranillo,155th,94 / 100,"2,091"
beef and venison,"Pavillon Rouge du Chateau Margaux, Margaux, France",Bordeaux Blend Red,156th,92 / 100,"2,464"
beef and venison,"Chateau Clinet, Pomerol, France",Bordeaux Blend Red,158th,93 / 100,"1,385"
beef and venison,"Petrolo Galatrona Valdarno di Sopra, Tuscany, Italy",Merlot,160th,93 / 100,"1,079"
beef and venison,"Chateau d'Issan, Margaux, France",Bordeaux Blend Red,162nd,92 / 100,826
beef and venison,"Beaulieu Vineyard BV Georges de Latour Private Reserve Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,163rd,93 / 100,"1,665"
beef and venison,"Chateau Gloria, Saint-Julien, France",Bordeaux Blend Red,166th,91 / 100,599
beef and venison,"Giuseppe Quintarelli Amarone della Valpolicella Classico DOCG, Veneto, Italy",Valpolicella Blend,168th,94 / 100,"4,569"
beef and venison,"Casanova di Neri Tenuta Nuova, Brunello di Montalcino DOCG, Italy",Sangiovese,174th,94 / 100,"1,425"
beef and venison,"Marchesi Antinori Tenuta Guado al Tasso Bolgheri Superiore, Tuscany, Italy",Bordeaux Blend Red,175th,94 / 100,"1,585"
beef and venison,"Chateau Phelan Segur, Saint-Estephe, France",Bordeaux Blend Red,179th,91 / 100,599
beef and venison,"Bibi Graetz Testamatta Toscana IGT, Tuscany, Italy",Sangiovese,181st,93 / 100,999
beef and venison,"Shafer Vineyards Hillside Select Cabernet Sauvignon, Stags Leap District, USA",Cabernet Sauvignon,182nd,95 / 100,"4,036"
beef and venison,"Penfolds Bin 407 Cabernet Sauvignon, South Australia",Cabernet Sauvignon,184th,91 / 100,826
beef and venison,"Chateau Malescot-St-Exupery, Margaux, France",Bordeaux Blend Red,185th,92 / 100,813
beef and venison,"Chateau Palmer Alter Ego de Palmer, Margaux, France",Bordeaux Blend Red,191st,91 / 100,"1,026"
beef and venison,"Cheval des Andes, Mendoza, Argentina",Bordeaux Blend Red,194th,94 / 100,"1,012"
beef and venison,"Chateau La Lagune, Haut-Medoc, France",Bordeaux Blend Red,195th,91 / 100,733
beef and venison,"Scarecrow 'M. Etain' Cabernet Sauvignon, Rutherford, USA",Cabernet Sauvignon,198th,93 / 100,"3,437"
beef and venison,"Quintessa Red, Rutherford, USA",Bordeaux Blend Red,199th,93 / 100,"2,504"
beef and venison,"Promontory, Napa Valley, USA",Cabernet Sauvignon,203rd,96 / 100,"10,298"
beef and venison,"Chateau Chasse-Spleen, Moulis-en-Medoc, France",Bordeaux Blend Red,204th,88 / 100,520
beef and venison,"Il Poggione Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,211th,92 / 100,719
beef and venison,"Clos Apalta, Colchagua Valley, Chile",Bordeaux Blend Red,214th,93 / 100,"1,412"
beef and venison,"Scarecrow Cabernet Sauvignon, Rutherford, USA",Cabernet Sauvignon,215th,95 / 100,"10,737"
beef and venison,"Chateau Pavie Macquin, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,219th,94 / 100,"1,066"
beef and venison,"Biondi Santi Tenuta Greppo Riserva, Brunello di Montalcino DOCG, Italy",Sangiovese,220th,95 / 100,"6,834"
beef and venison,"Le Petit Mouton de Mouton Rothschild, Pauillac, France",Bordeaux Blend Red,221st,92 / 100,"3,264"
beef and venison,"Chateau Prieure-Lichine, Margaux, France",Bordeaux Blend Red,223rd,91 / 100,586
beef and venison,"Penfolds St. Henri Shiraz, South Australia",Shiraz,226th,93 / 100,"1,052"
beef and venison,"Chateau Gazin Pomerol, France",Bordeaux Blend Red,227th,92 / 100,"1,052"
beef and venison,"The Mascot, Napa Valley, USA",Cabernet Sauvignon,227th,92 / 100,"1,945"
beef and venison,"Chateau Canon la Gaffeliere, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,229th,93 / 100,"1,106"
beef and venison,"Vega Sicilia Alion, Ribera del Duero, Spain",Tempranillo,230th,92 / 100,"1,159"
beef and venison,"Chateau La Gaffeliere, Saint-Emilion, France",Cabernet Franc - Merlot,234th,93 / 100,972
beef and venison,"Chateau Cantenac Brown, Margaux, France",Bordeaux Blend Red,235th,92 / 100,759
beef and venison,"Chateau Pichon Longueville Comtesse de Lalande 'Pichon Comtesse Reserve', Pauillac, France",Bordeaux Blend Red,237th,90 / 100,626
beef and venison,"Chateau Langoa-Barton, Saint-Julien, France",Bordeaux Blend Red,239th,92 / 100,719
beef and venison,"Concha y Toro Don Melchor Cabernet Sauvignon, Puente Alto, Chile",Cabernet Sauvignon,240th,94 / 100,"1,519"
beef and venison,"Tenuta San Guido 'Guidalberto' Toscana IGT, Tuscany, Italy",Cabernet Sauvignon - Merlot,245th,91 / 100,586
beef and venison,"Chateau L'Eglise-Clinet, Pomerol, France",Cabernet Franc - Merlot,246th,95 / 100,"3,144"
beef and venison,"Colgin Cellars IX Estate Red, Napa Valley, USA",Bordeaux Blend Red,249th,96 / 100,"7,047"
beef and venison,"Chateau Lafon-Rochet, Saint-Estephe, France",Bordeaux Blend Red,249th,91 / 100,599
beef and venison,"Ornellaia 'Le Serre Nuove dell'Ornellaia' Bolgheri Rosso, Tuscany, Italy",Bordeaux Blend Red,252nd,91 / 100,706
beef and venison,"Beringer Vineyards Private Reserve Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,253rd,93 / 100,"1,798"
beef and venison,"Chateau Meyney, Saint-Estephe, France",Bordeaux Blend Red,256th,91 / 100,440
beef and venison,"Silver Oak Cellars Alexander Valley Cabernet Sauvignon, California, USA",Cabernet Sauvignon,258th,89 / 100,"1,132"
beef and venison,"Spottswoode Family Estate Grown Cabernet Sauvignon, St. Helena, USA",Cabernet Sauvignon,262nd,95 / 100,"2,837"
beef and venison,"Bibi Graetz Colore Toscana IGT, Tuscany, Italy",Chianti Blend,266th,94 / 100,"2,638"
beef and venison,"Austin Hope Cabernet Sauvignon, Paso Robles, USA",Cabernet Sauvignon,269th,92 / 100,639
beef and venison,"Catena Zapata Malbec Argentino, Mendoza, Argentina",Malbec,271st,93 / 100,"1,186"
beef and venison,"Mazzei Castello di Fonterutoli 'Siepi' Toscana IGT, Tuscany, Italy",Merlot - Sangiovese,274th,93 / 100,986
beef and venison,"Le Clarence de Haut-Brion - Chateau Bahans Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,275th,91 / 100,"1,732"
beef and venison,"Vinedo Chadwick, Maipo Valley, Chile",Bordeaux Blend Red,278th,94 / 100,"3,530"
beef and venison,"Chateau Beau-Sejour Becot, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,279th,93 / 100,933
beef and venison,"Castello Banfi Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,283rd,90 / 100,719
beef and venison,"Chateau Haut-Bages Liberal, Pauillac, France",Bordeaux Blend Red,286th,91 / 100,599
beef and venison,"Tenuta Luce 'Luce' Toscana IGT, Tuscany, Italy",Merlot - Sangiovese,287th,93 / 100,"1,306"
beef and venison,"Chateau Laroque, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,292nd,91 / 100,413
beef and venison,"Chateau Haut-Batailley, Pauillac, France",Bordeaux Blend Red,297th,91 / 100,719
beef and venison,"Fattoria Poggio di Sotto Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,301st,94 / 100,"2,305"
beef and venison,"Chateau Durfort-Vivens, Margaux, France",Bordeaux Blend Red,302nd,92 / 100,839
beef and venison,"Clos Fourtet, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,304th,94 / 100,"1,492"
beef and venison,"Joseph Phelps Vineyards Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,310th,90 / 100,999
beef and venison,"Masi Costasera, Amarone della Valpolicella Classico DOCG, Italy",Valpolicella Blend,311th,91 / 100,626
beef and venison,"Heitz Cellar Martha's Vineyard Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,313th,93 / 100,"3,877"
beef and venison,"Chateau Poujeaux, Moulis-en-Medoc, France",Bordeaux Blend Red,317th,89 / 100,400
beef and venison,"Catena Zapata 'Nicolas Catena Zapata', Mendoza, Argentina",Cabernet Sauvignon - Malbec,318th,94 / 100,"1,079"
beef and venison,"Penfolds Bin 707 Cabernet Sauvignon, South Australia",Cabernet Sauvignon,319th,94 / 100,"4,463"
beef and venison,"Emidio Pepe Montepulciano d'Abruzzo, Italy",Montepulciano,321st,92 / 100,"2,185"
beef and venison,"Bernard Magrez Chateau La Tour Carnet, Haut Medoc, France",Bordeaux Blend Red,323rd,90 / 100,413
beef and venison,"Isole e Olena Cepparello Toscana IGT, Tuscany, Italy",Sangiovese,324th,94 / 100,"1,119"
beef and venison,"Chateau Leoville-Las Cases 'Clos du Marquis', Saint-Julien, France",Bordeaux Blend Red,326th,92 / 100,799
beef and venison,"Chateau Valandraud, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,327th,94 / 100,"2,025"
beef and venison,"Fattoria Le Pupille 'Saffredi' Maremma Toscana, Tuscany, Italy",Bordeaux Blend Red,332nd,94 / 100,"1,012"
beef and venison,"Chateau Montrose La Dame de Montrose, Saint-Estephe, France",Cabernet Sauvignon - Merlot,333rd,91 / 100,546
beef and venison,"Marchesi Frescobaldi Castelgiocondo, Brunello di Montalcino DOCG, Italy",Sangiovese,334th,91 / 100,679
beef and venison,"Realm Cellars The Bard Proprietary Blend, Napa Valley, USA",Cabernet Sauvignon,335th,94 / 100,"1,972"
beef and venison,"Opus One Overture, Napa Valley, USA",Bordeaux Blend Red,336th,92 / 100,"1,785"
beef and venison,"Chateau Grand-Puy Ducasse, Pauillac, France",Bordeaux Blend Red,338th,91 / 100,533
beef and venison,"Chateau Saint-Pierre, Saint-Julien, France",Bordeaux Blend Red,342nd,92 / 100,693
beef and venison,"Chateau Lynch-Moussas, Pauillac, France",Bordeaux Blend Red,343rd,90 / 100,493
beef and venison,"Tua Rita Redigaffi Toscana IGT, Tuscany, Italy",Merlot,344th,95 / 100,"2,584"
beef and venison,"Henschke Hill of Grace Shiraz, Eden Valley, Australia",Shiraz,349th,96 / 100,"7,873"
beef and venison,"Chateau Malartic Lagraviere, Pessac-Leognan, France",Bordeaux Blend Red,350th,92 / 100,639
beef and venison,"Bodega Aleanna 'Gran Enemigo' Gualtallary Single Vineyard Cabernet Franc, Tupungato, Argentina",Cabernet Franc - Malbec,351st,94 / 100,"1,039"
beef and venison,"Chateau Kirwan, Margaux, France",Bordeaux Blend Red,353rd,91 / 100,693
beef and venison,"Stag's Leap Wine Cellars 'Artemis' Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,355th,89 / 100,919
beef and venison,"Chateau Montelena The Montelena Estate Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,356th,92 / 100,"2,171"
beef and venison,"Vega Sicilia 'Pintia', Toro, Spain",Tempranillo,359th,92 / 100,853
beef and venison,"Chateau Ducru-Beaucaillou 'La Croix de Beaucaillou', Saint-Julien, France",Cabernet Sauvignon - Merlot,360th,91 / 100,639
beef and venison,"Screaming Eagle 'The Flight - Second Flight', Napa Valley, USA",Cabernet Sauvignon,362nd,94 / 100,"11,137"
beef and venison,"Robert Mondavi Winery Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,363rd,89 / 100,533
beef and venison,"Chateau du Tertre, Margaux, France",Bordeaux Blend Red,364th,90 / 100,599
beef and venison,"San Giusto a Rentennano 'Percarlo' Sangiovese Toscana IGT, Tuscany, Italy",Sangiovese,366th,95 / 100,"1,492"
beef and venison,"Penfolds RWT - Bin 798 Shiraz, Barossa Valley, Australia",Shiraz,368th,94 / 100,"1,572"
beef and venison,"Mayacamas Vineyards Cabernet Sauvignon, Mount Veeder, USA",Cabernet Sauvignon,372nd,93 / 100,"2,131"
beef and venison,"Bertani Amarone della Valpolicella Classico DOCG, Veneto, Italy",Valpolicella Blend,376th,92 / 100,"1,972"
beef and venison,"Massetino Toscana IGT, Tuscany, Italy",Cabernet Franc - Merlot,376th,93 / 100,"4,596"
beef and venison,"Chateau Belgrave, Haut-Medoc, France",Bordeaux Blend Red,381st,90 / 100,426
beef and venison,"Baron Philippe de Rothschild Mouton Cadet, Bordeaux, France",Bordeaux Blend Red,388th,86 / 100,160
beef and venison,"Quilceda Creek Cabernet Sauvignon, Columbia Valley, USA",Cabernet Sauvignon,390th,95 / 100,"2,345"
beef and venison,"Far Niente Estate Bottled Cabernet Sauvignon, Oakville, USA",Cabernet Sauvignon,396th,93 / 100,"1,545"
beef and venison,"Dunn Vineyards Howell Mountain Cabernet Sauvignon, California, USA",Cabernet Sauvignon,397th,94 / 100,"2,225"
beef and venison,"Montes 'Purple Angel', Colchagua Valley, Chile",Carmenere,401st,92 / 100,"1,026"
beef and venison,"Chateau Latour Le Pauillac de Latour, Pauillac, France",Bordeaux Blend Red,402nd,90 / 100,"1,039"
beef and venison,"Chateau Cheval Blanc 'Le Petit Cheval', Saint-Emilion, France",Bordeaux Blend Red,406th,91 / 100,"2,145"
beef and venison,"Chateau Potensac, Medoc, France",Bordeaux Blend Red,408th,90 / 100,360
beef and venison,"Chateau Le Tertre-Roteboeuf, Saint-Emilion, France",Bordeaux Blend Red,409th,94 / 100,"2,571"
beef and venison,"Chateau Pedesclaux, Pauillac, France",Bordeaux Blend Red,410th,91 / 100,546
beef and venison,"Porseleinberg Red, Swartland, South Africa",Syrah,420th,93 / 100,853
beef and venison,"Ornellaia 'Le Volte dell'Ornellaia' Toscana IGT, Tuscany, Italy",Cabernet - Merlot - Sangiovese,421st,89 / 100,293
beef and venison,"Chateau Cos d'Estournel 'Les Pagodes de Cos', Saint-Estephe, France",Bordeaux Blend Red,422nd,91 / 100,626
beef and venison,"Valdicava Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,423rd,92 / 100,"1,599"
beef and venison,"Chateau Dauzac, Margaux, France",Bordeaux Blend Red,425th,91 / 100,573
beef and venison,"Clos Rougeard Saumur-Champigny, Loire, France",Cabernet Franc,428th,91 / 100,"2,691"
beef and venison,"Tenuta Sette Ponti Oreno Toscana IGT, Tuscany, Italy",Bordeaux Blend Red,429th,93 / 100,946
beef and venison,"Casanova di Neri Brunello di Montalcino DOCG, Tuscany, Italy",Sangiovese,432nd,92 / 100,786
beef and venison,"Robert Mondavi Winery Reserve Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,432nd,92 / 100,"1,918"
beef and venison,"Schrader Cellars Double Diamond Oakville Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,436th,92 / 100,"1,226"
beef and venison,"Hundred Acre 'Ark Vineyard' Cabernet Sauvignon, Howell Mountain, USA",Cabernet Sauvignon,438th,96 / 100,"7,993"
beef and venison,"Eisele Vineyard Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,440th,96 / 100,"5,648"
beef and venison,"Tommasi Amarone della Valpolicella Classico DOCG, Veneto, Italy",Valpolicella Blend,441st,90 / 100,679
beef and venison,"Chateau Monbousquet, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,445th,90 / 100,719
beef and venison,"Chateau Smith Haut Lafitte 'Le Petit Smith Haut Lafitte', Pessac-Leognan, France",Cabernet Sauvignon - Merlot,447th,91 / 100,440
beef and venison,"Torbreck Runrig Shiraz - Viognier, Barossa Valley, Australia",Syrah - Viognier,455th,94 / 100,"2,385"
beef and venison,"Chateau Rauzan-Gassies, Margaux, France",Bordeaux Blend Red,456th,89 / 100,746
beef and venison,"La Chapelle de La Mission Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,460th,91 / 100,"1,012"
beef and venison,"Podere Grattamacco Bolgheri Superiore, Bolgheri, Italy",Cabernet - Merlot - Sangiovese,462nd,93 / 100,"1,012"
beef and venison,"Dalla Valle Vineyards Maya, Napa Valley, USA",Bordeaux Blend Red,463rd,95 / 100,"5,875"
beef and venison,"Chateau Larcis Ducasse, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,465th,93 / 100,972
beef and venison,"Penfolds Bin 28 Kalimna Shiraz, South Australia",Shiraz,466th,91 / 100,373
beef and venison,"Duffau-Lagarrosse Chateau Beausejour, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,468th,94 / 100,"1,465"
beef and venison,"Chateau Belair-Monange, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,470th,94 / 100,"1,519"
beef and venison,"Chateau Latour a Pomerol, Pomerol, France",Cabernet Franc - Merlot,472nd,92 / 100,"1,212"
beef and venison,"Stag's Leap Wine Cellars Estate 'Cask 23' Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,473rd,94 / 100,"3,464"
beef and venison,"Chateau Les Ormes-de-Pez, Saint-Estephe, France",Bordeaux Blend Red,476th,90 / 100,426
beef and venison,"Cartuxa Pera Manca Tinto, Alentejo, Portugal",Portuguese Red Blend,478th,92 / 100,"5,728"
beef and venison,"Chateau Fleur Cardinale, Saint-Emilion Grand Cru, France",Bordeaux Blend Red,483rd,92 / 100,560
beef and venison,"Jordan Winery Cabernet Sauvignon, Alexander Valley, USA",Cabernet Sauvignon,493rd,90 / 100,786
beef and venison,"Casa Ferreirinha 'Barca Velha', Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,498th,93 / 100,"8,060"
beef and venison,"Chateau Larrivet Haut-Brion, Pessac-Leognan, France",Bordeaux Blend Red,509th,91 / 100,533
beef and venison,"Continuum Proprietary Red, Oakville, USA",Bordeaux Blend Red,512th,94 / 100,"3,171"
beef and venison,"Chateau Lilian Ladouys, Saint-Estephe, France",Bordeaux Blend Red,513th,90 / 100,306
beef and venison,"Stags' Leap Winery Cabernet Sauvignon, Napa Valley, USA",Cabernet Sauvignon,515th,90 / 100,626
beef and venison,"Chateau Hosanna, Pomerol, France",Cabernet Franc - Merlot,516th,93 / 100,"1,892"
beef and venison,"Echo de Lynch Bages Chateau Haut-Bages Averous, Pauillac, France",Bordeaux Blend Red,518th,89 / 100,573
beef and venison,"Stella di Campalto Podere San Giuseppe Brunello di Montalcino Riserva DOCG, Tuscany, Italy",Sangiovese,521st,93 / 100,"4,583"
beef and venison,"Chateau Siran, Margaux, France",Bordeaux Blend Red,522nd,90 / 100,426
beef and venison,"Clos L'Eglise, Pomerol, France",Bordeaux Blend Red,524th,92 / 100,"1,146"
beef and venison,"Chateau Nenin, Pomerol, France",Bordeaux Blend Red,532nd,92 / 100,866
beef and venison,"Chateau de Fieuzal, Pessac-Leognan, France",Bordeaux Blend Red,535th,91 / 100,506
